Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_2:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_3:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_5:Surface Outside Face Temperature [C](TimeStep),SURFACE_6:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep),WINDOW1:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Temperature [C](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/02  03:13:00,10.5566666666667,0.0,14.0488481337404,11.8632065221451,0.0,0.0,0.0,0.0,13.9090800440633,0.0,13.5096528573752,6.995052863590040E-03,13.5159869638737,0.0 
 01/02  03:14:00,10.5533333333333,0.0,14.0413961779086,11.8581897011898,0.0,0.0,0.0,0.0,13.9023260765599,0.0,13.5033371901142,6.986922792474594E-03,13.5096528573752,0.0 
 01/02  03:15:00,10.55,0.0,14.0339449258506,11.8531726558087,0.0,0.0,0.0,0.0,13.8955792060639,0.0,13.4970388057877,6.978798827978589E-03,13.5033371901142,0.0 
 01/02  03:16:00,10.5466666666667,0.0,14.0265126506851,11.8481882023834,0.0,0.0,0.0,0.0,13.8888391994886,0.0,13.4907568284587,6.970680705828319E-03,13.4970388057877,0.0 
 01/02  03:17:00,10.5433333333333,0.0,14.0190810179911,11.8432035288179,0.0,0.0,0.0,0.0,13.8821063382611,0.0,13.4844902652949,6.962568299569935E-03,13.4907568284587,0.0 
 01/02  03:18:00,10.54,0.0,14.0116682297942,11.8382487947525,0.0,0.0,0.0,0.0,13.8753803776733,0.0,13.4782383897363,6.954461376643043E-03,13.4844902652949,0.0 
 01/02  03:19:00,10.5366666666667,0.0,14.0042560319121,11.8332938444807,0.0,0.0,0.0,0.0,13.8686615887718,0.0,13.4720003462769,6.946359839883967E-03,13.4782383897363,0.0 
 01/02  03:20:00,10.5333333333333,0.0,13.9968625357215,11.8283666433219,0.0,0.0,0.0,0.0,13.8619497176611,0.0,13.4657755381934,6.938263483680076E-03,13.4720003462769,0.0 
 01/02  03:21:00,10.53,0.0,13.989469585554,11.8234392295998,0.0,0.0,0.0,0.0,13.8552450287452,0.0,13.459563228232,6.930172236308704E-03,13.4657755381934,0.0 
 01/02  03:22:00,10.5266666666667,0.0,13.9820951868624,11.8185377216712,0.0,0.0,0.0,0.0,13.8485472600459,0.0,13.4533629211326,6.922085915498123E-03,13.459563228232,0.0 
 01/02  03:23:00,10.5233333333333,0.0,13.9747212962905,11.8136360045778,0.0,0.0,0.0,0.0,13.8418566664774,0.0,13.4471739742425,6.914004469441478E-03,13.4533629211326,0.0 
 01/02  03:24:00,10.52,0.0,13.9673658090257,11.8087586179581,0.0,0.0,0.0,0.0,13.8351729811518,0.0,13.440995980007,6.905927734261601E-03,13.4471739742425,0.0 
 01/02  03:25:00,10.5166666666667,0.0,13.9600107973312,11.8038810253635,0.0,0.0,0.0,0.0,13.8284964524185,0.0,13.4348283781072,6.897855675449432E-03,13.440995980007,0.0 
 01/02  03:26:00,10.5133333333333,0.0,13.9526740465193,11.7990263996041,0.0,0.0,0.0,0.0,13.8218268091213,0.0,13.4286708361692,6.889788145267505E-03,13.4348283781072,0.0 
 01/02  03:27:00,10.51,0.0,13.9453377433635,11.7941715708788,0.0,0.0,0.0,0.0,13.8151642944325,0.0,13.4225228638037,6.881725124123019E-03,13.4286708361692,0.0 
 01/02  03:28:00,10.5066666666667,0.0,13.9380195673875,11.7893385157367,0.0,0.0,0.0,0.0,13.8085086338738,0.0,13.4163841921894,6.873666477866860E-03,13.4225228638037,0.0 
 01/02  03:29:00,10.5033333333333,0.0,13.9307018171749,11.7845052604801,0.0,0.0,0.0,0.0,13.8018600665369,0.0,13.4102543944822,6.865612199542135E-03,13.4163841921894,0.0 
 01/02  03:30:00,10.5,0.0,13.9234020718803,11.7796927249182,0.0,0.0,0.0,0.0,13.7952183176425,0.0,13.4041332582022,6.857562167453453E-03,13.4102543944822,0.0 
 01/02  03:31:00,10.4966666666667,0.0,13.9161027298935,11.7748799919535,0.0,0.0,0.0,0.0,13.7885836223629,0.0,13.3980204027696,6.849516385781781E-03,13.4041332582022,0.0 
 01/02  03:32:00,10.4933333333333,0.0,13.9088212823989,11.7700870403673,0.0,0.0,0.0,0.0,13.7819557021158,0.0,13.391915658483,6.841474762477654E-03,13.3980204027696,0.0 
 01/02  03:33:00,10.49,0.0,13.9015402204439,11.7652938939657,0.0,0.0,0.0,0.0,13.7753347905921,0.0,13.38581868624,6.833437248478198E-03,13.391915658483,0.0 
 01/02  03:34:00,10.4866666666667,0.0,13.8942769543332,11.7605196876248,0.0,0.0,0.0,0.0,13.7687206075693,0.0,13.3797293551205,6.825403821758745E-03,13.38581868624,0.0 
 01/02  03:35:00,10.4833333333333,0.0,13.8870140583995,11.7557452889449,0.0,0.0,0.0,0.0,13.7621133853894,0.0,13.3736473624074,6.817374419991400E-03,13.3797293551205,0.0 
 01/02  03:36:00,10.48,0.0,13.8797688721105,11.7509890712793,0.0,0.0,0.0,0.0,13.7555128428072,0.0,13.3675726105366,6.809349028548010E-03,13.3736473624074,0.0 
 01/02  03:37:00,10.4766666666667,0.0,13.872524042739,11.7462326636503,0.0,0.0,0.0,0.0,13.7489192114384,0.0,13.3615048277244,6.801327591806770E-03,13.3675726105366,0.0 
 01/02  03:38:00,10.4733333333333,0.0,13.8652968506989,11.7414937484216,0.0,0.0,0.0,0.0,13.742332209342,0.0,13.3554439488161,6.793310101014721E-03,13.3615048277244,0.0 
 01/02  03:39:00,10.47,0.0,13.8580700042777,11.7367546455144,0.0,0.0,0.0,0.0,13.7357520700168,0.0,13.3493897306084,6.785296507159755E-03,13.3554439488161,0.0 
 01/02  03:40:00,10.4666666666667,0.0,13.8508607316321,11.7320324071911,0.0,0.0,0.0,0.0,13.7291785102982,0.0,13.3433421287947,6.777286807188506E-03,13.3493897306084,0.0 
 01/02  03:41:00,10.4633333333333,0.0,13.8436517947791,11.7273099833915,0.0,0.0,0.0,0.0,13.722611762396,0.0,13.3373009199542,6.769280956039706E-03,13.3433421287947,0.0 
 01/02  03:42:00,10.46,0.0,13.8364603791407,11.7226038492305,0.0,0.0,0.0,0.0,13.7160515434814,0.0,13.3312660796687,6.761278954573943E-03,13.3373009199542,0.0 
 01/02  03:43:00,10.4566666666667,0.0,13.8292692907029,11.7178975317194,0.0,0.0,0.0,0.0,13.7094980863966,0.0,13.325237403541,6.753280761731024E-03,13.3312660796687,0.0 
 01/02  03:44:00,10.4533333333333,0.0,13.8220956803651,11.7132069751859,0.0,0.0,0.0,0.0,13.7029511082051,0.0,13.3192148852779,6.745286382258290E-03,13.325237403541,0.0 
 01/02  03:45:00,10.45,0.0,13.8149223897958,11.7085162373586,0.0,0.0,0.0,0.0,13.6964108429645,0.0,13.3131983369683,6.737295778594370E-03,13.3192148852779,0.0 
 01/02  03:46:00,10.4466666666667,0.0,13.8077665425251,11.7038407726093,0.0,0.0,0.0,0.0,13.6898770076428,0.0,13.3071877678985,6.729308958651800E-03,13.3131983369683,0.0 
 01/02  03:47:00,10.4433333333333,0.0,13.8006110103031,11.6991651285578,0.0,0.0,0.0,0.0,13.6833498378571,0.0,13.3011830077503,6.721325888104305E-03,13.3071877678985,0.0 
 01/02  03:48:00,10.44,0.0,13.7934728943767,11.6945043057772,0.0,0.0,0.0,0.0,13.6768290523368,0.0,13.2951840812735,6.713346578443034E-03,13.3011830077503,0.0 
 01/02  03:49:00,10.4366666666667,0.0,13.7863350864599,11.6898433056271,0.0,0.0,0.0,0.0,13.6703148878501,0.0,13.2891908269078,6.705370998265700E-03,13.2951840812735,0.0 
 01/02  03:50:00,10.4333333333333,0.0,13.7792146739256,11.6851967070573,0.0,0.0,0.0,0.0,13.6638070615373,0.0,13.2832032785775,6.697399160844897E-03,13.2891908269078,0.0 
 01/02  03:51:00,10.43,0.0,13.7720945646204,11.680549932995,0.0,0.0,0.0,0.0,13.657305812788,0.0,13.2772212840009,6.689431036727698E-03,13.2832032785775,0.0 
 01/02  03:52:00,10.4266666666667,0.0,13.7649918343928,11.6759171695299,0.0,0.0,0.0,0.0,13.6508108585303,0.0,13.2712448870059,6.681466640806547E-03,13.2772212840009,0.0 
 01/02  03:53:00,10.4233333333333,0.0,13.757889403248,11.6712842323982,0.0,0.0,0.0,0.0,13.6443224403858,0.0,13.2652739441359,6.673505945816506E-03,13.2712448870059,0.0 
 01/02  03:54:00,10.42,0.0,13.7508043390912,11.6666649406473,0.0,0.0,0.0,0.0,13.6378402752672,0.0,13.2593085080127,6.665548968357179E-03,13.2652739441359,0.0 
 01/02  03:55:00,10.4166666666667,0.0,13.7437195704581,11.6620454770071,0.0,0.0,0.0,0.0,13.6313646070662,0.0,13.2533484426676,6.657595682817506E-03,13.2593085080127,0.0 
 01/02  03:56:00,10.4133333333333,0.0,13.7366521615918,11.6574393167462,0.0,0.0,0.0,0.0,13.6248951527074,0.0,13.2473938115604,6.649646107467322E-03,13.2533484426676,0.0 
 01/02  03:57:00,10.41,0.0,13.72958504533,11.6528329863286,0.0,0.0,0.0,0.0,13.6184321600655,0.0,13.2414444869369,6.641700218835975E-03,13.2473938115604,0.0 
 01/02  03:58:00,10.4066666666667,0.0,13.722535282018,11.6482396382783,0.0,0.0,0.0,0.0,13.6119753454525,0.0,13.2355005358838,6.633758036673926E-03,13.2414444869369,0.0 
 01/02  03:59:00,10.4033333333333,0.0,13.7154858087678,11.6436461217613,0.0,0.0,0.0,0.0,13.6055249576894,0.0,13.2295618338304,6.625819538477293E-03,13.2355005358838,0.0 
 01/02  04:00:00,10.4,0.0,13.7084536839261,11.6390652856391,0.0,0.0,0.0,0.0,13.5990807136222,0.0,13.2236284526754,6.617884744521393E-03,13.2295618338304,0.0 
 01/02  04:01:00,10.3983333333333,0.0,13.7014230419194,11.6348636649556,0.0,0.0,0.0,0.0,13.5926428642313,0.0,13.2177154748657,6.601274453498156E-03,13.2236284526754,0.0 
 01/02  04:02:00,10.3966666666667,0.0,13.6944109556687,11.6307495681336,0.0,0.0,0.0,0.0,13.586212747407,0.0,13.2118327821652,6.584672139843120E-03,13.2177154748657,0.0 
 01/02  04:03:00,10.395,0.0,13.6874000995985,11.6266347073748,0.0,0.0,0.0,0.0,13.5797906584727,0.0,13.205982904967,6.568080269003742E-03,13.2118327821652,0.0 
 01/02  04:04:00,10.3933333333333,0.0,13.68040874105,11.6226581425883,0.0,0.0,0.0,0.0,13.5733766014003,0.0,13.2001648045401,6.551499574181116E-03,13.205982904967,0.0 
 01/02  04:05:00,10.3916666666667,0.0,13.6734185402498,11.6186808565689,0.0,0.0,0.0,0.0,13.5669709583627,0.0,13.1943761203885,6.534929874677871E-03,13.2001648045401,0.0 
 01/02  04:06:00,10.39,0.0,13.6664482876758,11.6148049613824,0.0,0.0,0.0,0.0,13.5605735329877,0.0,13.1886147726314,6.518370747961363E-03,13.1943761203885,0.0 
 01/02  04:07:00,10.3883333333333,0.0,13.6594790436359,11.6109283761801,0.0,0.0,0.0,0.0,13.5541846982884,0.0,13.1828787639012,6.501821809541552E-03,13.1886147726314,0.0 
 01/02  04:08:00,10.3866666666667,0.0,13.6525299771296,11.6071334987364,0.0,0.0,0.0,0.0,13.5478042025932,0.0,13.1771665876193,6.485282717890252E-03,13.1828787639012,0.0 
 01/02  04:09:00,10.385,0.0,13.6455818121325,11.6033379563737,0.0,0.0,0.0,0.0,13.5414324041108,0.0,13.171476679606,6.468753173190722E-03,13.1771665876193,0.0 
 01/02  04:10:00,10.3833333333333,0.0,13.6386539263412,11.59961149792,0.0,0.0,0.0,0.0,13.5350690260464,0.0,13.1658078344799,6.452232926363207E-03,13.171476679606,0.0 
 01/02  04:11:00,10.3816666666667,0.0,13.6317268583252,11.5958843957224,0.0,0.0,0.0,0.0,13.5287144137687,0.0,13.1601587160065,6.435721781372706E-03,13.1658078344799,0.0 
 01/02  04:12:00,10.38,0.0,13.6248200979387,11.5922174733169,0.0,0.0,0.0,0.0,13.5223682731223,0.0,13.1545283188721,6.419219534768070E-03,13.1601587160065,0.0 
 01/02  04:13:00,10.3783333333333,0.0,13.617914084316,11.588549925579,0.0,0.0,0.0,0.0,13.5160309383685,0.0,13.1489154906345,6.402725987833154E-03,13.1545283188721,0.0 
