Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  16:02:00,14.9766666666667,12.1991368265095,13.7085990683784,12.332431717801 
 01/01  16:03:00,14.965,12.2038539789034,13.7079514251586,12.3364302493721 
 01/01  16:04:00,14.9533333333333,12.2085716586266,13.7070728091089,12.3403823473923 
 01/01  16:05:00,14.9416666666667,12.2132623013412,13.7061941930591,12.3442835485188 
 01/01  16:06:00,14.93,12.2179486233957,13.70513306606,12.3481334144029 
 01/01  16:07:00,14.9183333333333,12.2226338158861,13.7040719390609,12.3519369132522 
 01/01  16:08:00,14.9066666666667,12.2273019342291,13.7028550506301,12.355699744681 
 01/01  16:09:00,14.895,12.2319688387979,13.7016381621992,12.3594273454213 
 01/01  16:10:00,14.8833333333333,12.2366180425185,13.7002832497317,12.3631234162704 
 01/01  16:11:00,14.8716666666667,12.2412662036729,13.6989283372643,12.3667912881206 
 01/01  16:12:00,14.86,12.2458960295843,13.6974483227589,12.3704331293957 
 01/01  16:13:00,14.8483333333333,12.2505249548946,13.6959683082535,12.3740513054026 
 01/01  16:14:00,14.8366666666667,12.2551350035142,13.6943731791221,12.3776473211116 
 01/01  16:15:00,14.825,12.2597442673479,13.6927780499907,12.381223058136 
 01/01  16:16:00,14.8133333333333,12.2643341812315,13.6910758471707,12.3847796042654 
 01/01  16:17:00,14.8016666666667,12.2689234047505,13.6893736443508,12.3883184939568 
 01/01  16:18:00,14.79,12.2734928500584,13.6875710375899,12.3918404964017 
 01/01  16:19:00,14.7783333333333,12.278061679956,13.6857684308288,12.3953468790921 
