Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  07:40:00,10.1333333333333,11.543906176215,10.7934741951808,11.4230862148911 
 01/01  07:41:00,10.1366666666667,11.5415651986786,10.7933192554385,11.4212514284932 
 01/01  07:42:00,10.14,11.5392300602383,10.7931955664143,11.4194211737557 
 01/01  07:43:00,10.1433333333333,11.5368950829693,10.7930718773902,11.4175952966226 
 01/01  07:44:00,10.1466666666667,11.5345660917452,10.7929782527957,11.4157737467206 
 01/01  07:45:00,10.15,11.5322372553679,10.7928846282014,11.4139563861444 
 01/01  07:46:00,10.1533333333333,11.52991456813,10.7928199722415,11.4121431828392 
 01/01  07:47:00,10.1566666666667,11.527592030584,10.7927553162816,11.4103340132005 
 01/01  07:48:00,10.16,11.52527581958,10.7927186135182,11.4085288619442 
 01/01  07:49:00,10.1633333333333,11.5229597541652,10.7926819107548,11.4067276180921 
 01/01  07:50:00,10.1666666666667,11.5206502051324,10.7926722174562,11.4049302817183 
 01/01  07:51:00,10.17,11.5183407985338,10.7926625241574,11.4031367529523 
 01/01  07:52:00,10.1733333333333,11.5160381087453,10.7926789608646,11.4013470459307 
 01/01  07:53:00,10.1766666666667,11.513735559086,10.7926953975719,11.3995610705111 
 01/01  07:54:00,10.18,11.5114399354663,10.7927371426748,11.3977788537004 
 01/01  07:55:00,10.1833333333333,11.5091444504324,10.7927788877776,11.3960003138296 
 01/01  07:56:00,10.1866666666667,11.5068561077722,10.7928451719304,11.3942254896758 
 01/01  07:57:00,10.19,11.5045679028345,10.7929114560831,11.3924543069025 
 01/01  07:58:00,10.1933333333333,11.5022870621213,10.7930015573264,11.3906868150396 
 01/01  07:59:00,10.1966666666667,11.500006358873,10.7930916585695,11.3889229460456 
 01/01  08:00:00,10.2,11.4977332457484,10.7932048980487,11.3871627592615 
 01/01  08:01:00,10.2083333333333,11.4954602704258,10.7938190634944,11.3854141335287 
 01/01  08:02:00,10.2166666666667,11.4931953654593,10.79456303227,11.3836853857848 
 01/01  08:03:00,10.225,11.4909311188527,10.7953070010456,11.3819813293528 
 01/01  08:04:00,10.2333333333333,11.4886758622532,10.7962560201628,11.380303759607 
 01/01  08:05:00,10.2416666666667,11.4864214896069,10.7972050392799,11.3786525300972 
 01/01  08:06:00,10.25,11.4841769885992,10.798311330873,11.3770269018021 
 01/01  08:07:00,10.2583333333333,11.4819333487451,10.7994176224663,11.3754257752573 
 01/01  08:08:00,10.2666666666667,11.4797002703906,10.8006550899279,11.3738482005973 
 01/01  08:09:00,10.275,11.4774679881477,10.8018925573896,11.3722931060644 
 01/01  08:10:00,10.2833333333333,11.4752467908789,10.8032440871444,11.3707596399847 
 01/01  08:11:00,10.2916666666667,11.4730263277016,10.8045956168992,11.3692468309738 
 01/01  08:12:00,10.3,11.4708173619274,10.8060488835073,11.3677539370927 
 01/01  08:13:00,10.3083333333333,11.4686090748423,10.8075021501154,11.3662800901189 
 01/01  08:14:00,10.3166666666667,11.4664126236088,10.8090477371283,11.3648246558958 
